2019-02-14 18:44:57.342 [restartedMain] INFO  com.guanghe.onion.YcApiApplication - Starting YcApiApplication on renjiedeMacBook-Pro.local with PID 3782 (/Users/renjie/IdeaProjects/YcAPI/target/classes started by renjie in /Users/renjie/IdeaProjects/YcAPI)
2019-02-14 18:45:00.550 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-02-14 18:45:00.664 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-02-14 18:45:00.722 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-02-14 18:45:00.812 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
2019-02-14 18:45:00.814 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-02-14 18:45:00.953 [restartedMain] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-02-14 18:45:01.298 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL9Dialect
2019-02-14 18:45:01.312 [restartedMain] INFO  o.h.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2019-02-14 18:45:01.317 [restartedMain] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@3b238d26
2019-02-14 18:45:02.106 [restartedMain] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-02-14 18:45:02.144 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-02-14 18:45:02.646 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-14 18:45:02.684 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-02-14 18:45:02.781 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [templates/index.html]
2019-02-14 18:45:02.930 [restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 672cf5e5-3985-45d7-9f94-bfce801d87f4

2019-02-14 18:45:03.007 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3ef579e4, org.springframework.security.web.context.SecurityContextPersistenceFilter@40adccc3, org.springframework.security.web.header.HeaderWriterFilter@252dc9e, org.springframework.security.web.authentication.logout.LogoutFilter@70b00475, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31b5e53a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f1ee615, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@122d85a2, org.springframework.security.web.session.SessionManagementFilter@60778e71, org.springframework.security.web.access.ExceptionTranslationFilter@3264cb07, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3608a229]
2019-02-14 18:45:03.454 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-02-14 18:45:03.475 [restartedMain] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-02-14 18:45:03.497 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-02-14 18:45:03.500 [restartedMain] INFO  com.guanghe.onion.YcApiApplication - Started YcApiApplication in 6.638 seconds (JVM running for 8.082)
2019-02-14 18:49:02.563 [Thread-18] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-02-14 18:49:02.564 [Thread-18] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-02-14 18:49:02.568 [Thread-18] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-02-14 18:49:02.576 [Thread-18] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
